intervals_tested,intervals_conforming,intervals_removed_guard,intervals_emitted,features_with_any_removed_guard,instance_index,dataset,model,seed,significance,n_neighbors,n_invariant_warnings,is_ood
8,8,0,1,0,0,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,1,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,2,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,3,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,4,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,5,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,6,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,7,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,8,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,9,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,10,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,11,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,12,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,13,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,14,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,15,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,16,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,17,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,18,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,19,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,20,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,21,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,22,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,23,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,24,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,25,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,26,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,27,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,28,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,29,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,30,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,31,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,32,synthetic_1d,rf_reg,0,0.05,3,0,False
8,8,0,1,0,33,synthetic_1d,rf_reg,0,0.05,3,0,False
